Name,Date of Birth,NIC,Mobile Numbers,Address Line 1,Address Line 2,City,Country
Customer 143,1970-05-07,1997137642000142,0735048220;0796737611,"No 3, Main Street",Phase 2,Kandy,Sri Lanka
Customer 144,2000-01-08,1967883017000143,0764296412;0744090912,"No 11, Main Street",Phase 1,Negombo,Sri Lanka
Customer 145,2003-12-31,1958913745000144,0778419169,"No 206, Main Street",Phase 4,Kalutara,Sri Lanka
Customer 146,1975-01-16,1989147262000145,0749012362,"No 123, Main Street",Phase 5,Matara,Sri Lanka
Customer 147,1997-07-24,1996243580000146,0724720998;0740105312;0720912369,"No 221, Main Street",Phase 5,Badulla,Sri Lanka
Customer 148,1982-01-01,1977247044000147,0730178050,"No 419, Main Street",Phase 3,Kalutara,Sri Lanka
Customer 149,1992-08-07,1985236209000148,0792407725;0784315009,"No 354, Main Street",Phase 5,Negombo,Sri Lanka
Customer 150,1977-10-19,1974305511000149,0760237511,"No 169, Main Street",Phase 3,Ratnapura,Sri Lanka
Customer 151,2004-01-16,1968811796000150,0760002281;0726898403,"No 256, Main Street",Phase 1,Batticaloa,Sri Lanka
Customer 152,1979-04-24,1952363720000151,0788887789,"No 88, Main Street",Phase 4,Badulla,Sri Lanka
Customer 153,1952-11-16,1957569030000152,0757879912;0714058874;0766770259,"No 428, Main Street",Phase 2,Gampaha,Sri Lanka
Customer 154,1950-03-24,1999100902000153,0759018730;0737503282;0768550390,"No 192, Main Street",Phase 2,Colombo,Sri Lanka
Customer 155,1984-05-17,1993380045000154,0717649168;0738577187;0714281339,"No 487, Main Street",Phase 5,Nuwara Eliya,Sri Lanka
Customer 156,1976-10-06,1986954609000155,0789128207,"No 252, Main Street",Phase 5,Nuwara Eliya,Sri Lanka
Customer 157,1977-07-17,1952380619000156,0742539838;0784745101,"No 84, Main Street",Phase 1,Nuwara Eliya,Sri Lanka
Customer 158,1964-06-03,1957876409000157,0761649319,"No 457, Main Street",Phase 1,Galle,Sri Lanka
Customer 159,1977-06-03,1980476022000158,0751054473;0722556188,"No 372, Main Street",Phase 3,Gampaha,Sri Lanka
Customer 160,1968-10-21,1993218415000159,0781566066;0784139260;0752677701,"No 323, Main Street",Phase 1,Kandy,Sri Lanka
Customer 161,1987-02-07,1998312815000160,0789917460;0742428705;0733738804,"No 183, Main Street",Phase 2,Colombo,Sri Lanka
Customer 162,2001-12-12,1980684994000161,0747489482,"No 284, Main Street",Phase 1,Trincomalee,Sri Lanka
Customer 163,1983-08-05,1991191118000162,0740883861,"No 128, Main Street",Phase 1,Kurunegala,Sri Lanka
Customer 164,1963-03-03,1951662567000163,0729916782;0766075769;0775084768,"No 437, Main Street",Phase 4,Ratnapura,Sri Lanka
Customer 165,1967-06-02,1998785335000164,0774111390;0720819511,"No 237, Main Street",Phase 5,Jaffna,Sri Lanka
Customer 166,1966-03-16,1977525397000165,0739058989;0715993186,"No 229, Main Street",Phase 2,Gampaha,Sri Lanka
Customer 167,1972-11-08,1982541905000166,0725984139;0715601538;0725875625,"No 347, Main Street",Phase 5,Anuradhapura,Sri Lanka
Customer 168,1991-10-12,1996784527000167,0785396498;0766995277;0718703336,"No 230, Main Street",Phase 5,Nuwara Eliya,Sri Lanka
Customer 169,1955-09-29,1979190722000168,0712690305;0794793040;0756899643,"No 128, Main Street",Phase 1,Ratnapura,Sri Lanka
Customer 170,1985-03-05,1958295364000169,0747701518,"No 86, Main Street",Phase 4,Ratnapura,Sri Lanka
Customer 171,2005-03-15,1969338719000170,0770458837;0757009727,"No 176, Main Street",Phase 1,Matara,Sri Lanka
Customer 172,1950-04-25,1954346567000171,0782296288;0723628168;0748858619,"No 388, Main Street",Phase 3,Nuwara Eliya,Sri Lanka
Customer 173,1983-05-07,1985734036000172,0743006161;0771634031,"No 75, Main Street",Phase 2,Badulla,Sri Lanka
Customer 174,1971-01-12,1991623645000173,0748324820;0778938479,"No 281, Main Street",Phase 4,Nuwara Eliya,Sri Lanka
Customer 175,1998-12-29,1996143028000174,0793893688,"No 270, Main Street",Phase 3,Kurunegala,Sri Lanka
Customer 176,2005-04-06,1958248772000175,0749274388;0766515731,"No 360, Main Street",Phase 2,Kurunegala,Sri Lanka
Customer 177,1980-08-02,1999585244000176,0798279720;0729314054;0725369602,"No 41, Main Street",Phase 1,Kurunegala,Sri Lanka
Customer 178,2002-05-06,1984426379000177,0751012462,"No 30, Main Street",Phase 5,Anuradhapura,Sri Lanka
Customer 179,2002-02-17,1960905297000178,0731116480;0715676966;0741719537,"No 206, Main Street",Phase 3,Trincomalee,Sri Lanka
Customer 180,1997-12-19,1961762533000179,0779505048;0732152425,"No 422, Main Street",Phase 1,Badulla,Sri Lanka
Customer 181,1952-08-18,1978585398000180,0756449676;0793312229,"No 419, Main Street",Phase 4,Anuradhapura,Sri Lanka
Customer 182,1970-09-06,1999643209000181,0791808958;0794113754;0737386605,"No 198, Main Street",Phase 5,Nuwara Eliya,Sri Lanka
Customer 183,2002-04-06,1998558794000182,0799140305;0755494909;0795068798,"No 192, Main Street",Phase 2,Trincomalee,Sri Lanka
Customer 184,2001-01-24,1953656464000183,0755330815;0736334518;0716520591,"No 464, Main Street",Phase 5,Nuwara Eliya,Sri Lanka
Customer 185,1966-08-14,1951633636000184,0743454849;0715504234;0775648075,"No 422, Main Street",Phase 3,Galle,Sri Lanka
Customer 186,1966-08-01,1965247196000185,0749952136;0765575745;0775230786,"No 28, Main Street",Phase 1,Matara,Sri Lanka
Customer 187,1983-02-09,1966282202000186,0786953745,"No 500, Main Street",Phase 1,Kalutara,Sri Lanka
Customer 188,1988-03-26,1980817375000187,0790189613,"No 126, Main Street",Phase 3,Gampaha,Sri Lanka
Customer 189,1970-10-06,1992495397000188,0745872264;0732762439,"No 257, Main Street",Phase 2,Kalutara,Sri Lanka
Customer 190,2001-10-10,1990944070000189,0755150965,"No 406, Main Street",Phase 5,Batticaloa,Sri Lanka
Customer 191,1971-05-25,1987182693000190,0788755166,"No 431, Main Street",Phase 2,Trincomalee,Sri Lanka
Customer 192,1966-06-30,1969113033000191,0755069692;0798051671,"No 410, Main Street",Phase 4,Kandy,Sri Lanka
Customer 193,1959-01-10,1952677964000192,0743836655;0766122201;0711494941,"No 31, Main Street",Phase 3,Jaffna,Sri Lanka
Customer 194,1993-01-31,1969207452000193,0789793764;0720054208;0787231266,"No 64, Main Street",Phase 3,Nuwara Eliya,Sri Lanka
Customer 195,1958-01-30,1951205402000194,0787364887;0729102705,"No 397, Main Street",Phase 4,Kalutara,Sri Lanka
Customer 196,1987-08-17,1980292040000195,0769402018;0743614164,"No 128, Main Street",Phase 2,Nuwara Eliya,Sri Lanka
Customer 197,1990-09-05,1953976625000196,0792339203;0718083256;0791077822,"No 432, Main Street",Phase 5,Negombo,Sri Lanka
Customer 198,1958-12-21,1987692453000197,0710161482;0753645199;0757601283,"No 274, Main Street",Phase 3,Jaffna,Sri Lanka
Customer 199,2000-09-04,1967704139000198,0791580824;0710763587;0774843938,"No 350, Main Street",Phase 5,Kandy,Sri Lanka
Customer 200,1986-07-04,1980547695000199,0785317595,"No 54, Main Street",Phase 1,Negombo,Sri Lanka
Customer 201,1961-12-22,1989946322000200,0749945635,"No 156, Main Street",Phase 3,Ratnapura,Sri Lanka
Customer 202,1960-11-03,1977894727000201,0721034925,"No 293, Main Street",Phase 2,Colombo,Sri Lanka
Customer 203,1996-04-05,1987639374000202,0732629662;0779119679;0776520361,"No 76, Main Street",Phase 1,Anuradhapura,Sri Lanka
Customer 204,1990-10-18,1974768404000203,0780006195,"No 310, Main Street",Phase 3,Batticaloa,Sri Lanka
Customer 205,1959-05-09,1987982005000204,0737344123,"No 238, Main Street",Phase 3,Galle,Sri Lanka
Customer 206,1957-01-14,1990931523000205,0778026159;0734307639;0744451723,"No 102, Main Street",Phase 1,Anuradhapura,Sri Lanka
Customer 207,1979-07-05,1973784983000206,0783720558;0736964807,"No 171, Main Street",Phase 4,Matara,Sri Lanka
Customer 208,1975-12-28,1965562610000207,0732366687;0779555162,"No 173, Main Street",Phase 1,Badulla,Sri Lanka
Customer 209,1972-01-14,1966588016000208,0787881725;0765306697,"No 111, Main Street",Phase 1,Gampaha,Sri Lanka
Customer 210,1952-06-20,1958158658000209,0718758075;0770550646;0747263973,"No 110, Main Street",Phase 4,Trincomalee,Sri Lanka
Customer 211,1972-01-04,1999457257000210,0765295951,"No 45, Main Street",Phase 2,Anuradhapura,Sri Lanka
Customer 212,1950-09-17,1997137294000211,0771596625;0717555356,"No 378, Main Street",Phase 4,Kurunegala,Sri Lanka
Customer 213,1991-07-24,1952251971000212,0763953866,"No 344, Main Street",Phase 5,Galle,Sri Lanka
Customer 214,1992-05-25,1989559916000213,0752769010,"No 374, Main Street",Phase 1,Colombo,Sri Lanka
Customer 215,2000-06-23,1952653505000214,0735796053,"No 449, Main Street",Phase 3,Nuwara Eliya,Sri Lanka
Customer 216,1967-09-23,1995343177000215,0716152265;0718010441;0757192152,"No 90, Main Street",Phase 1,Kalutara,Sri Lanka
Customer 217,1960-01-07,1987922768000216,0716628521,"No 67, Main Street",Phase 5,Gampaha,Sri Lanka
Customer 218,1961-08-07,1970500548000217,0756858503;0781360394;0761779275,"No 10, Main Street",Phase 1,Kurunegala,Sri Lanka
Customer 219,1991-10-07,1973161239000218,0742068278;0723408219,"No 240, Main Street",Phase 5,Colombo,Sri Lanka
Customer 220,1955-06-25,1978945501000219,0713147367,"No 271, Main Street",Phase 2,Negombo,Sri Lanka
Customer 221,1984-12-25,1968418654000220,0758924951,"No 457, Main Street",Phase 5,Batticaloa,Sri Lanka
Customer 222,2000-03-22,1969131861000221,0722314401,"No 195, Main Street",Phase 1,Negombo,Sri Lanka
Customer 223,2004-05-18,1988419880000222,0741392846,"No 226, Main Street",Phase 1,Galle,Sri Lanka
Customer 224,1978-01-28,1961224732000223,0787499756;0762283704;0724809368,"No 60, Main Street",Phase 2,Gampaha,Sri Lanka
Customer 225,1983-11-09,1967987135000224,0764029592;0710206816;0783534120,"No 120, Main Street",Phase 4,Galle,Sri Lanka
Customer 226,1972-02-16,1966442884000225,0718956869;0733200687,"No 116, Main Street",Phase 3,Kandy,Sri Lanka
Customer 227,2003-11-17,1963458727000226,0746547202,"No 460, Main Street",Phase 3,Galle,Sri Lanka
Customer 228,1976-02-21,1986533253000227,0780389062;0717458480,"No 28, Main Street",Phase 5,Negombo,Sri Lanka
Customer 229,1991-06-14,1961718283000228,0793894927,"No 143, Main Street",Phase 5,Batticaloa,Sri Lanka
Customer 230,1962-08-25,1989519153000229,0748005083;0720174519,"No 157, Main Street",Phase 4,Negombo,Sri Lanka
Customer 231,1972-01-31,1968599447000230,0756657976;0746899958;0758030236,"No 155, Main Street",Phase 1,Kurunegala,Sri Lanka
